city_name,clouds,date,dew_point,dt,feels_like,humidity,pressure,rain_1h,rain_3h,snow_1h,sunrise,sunset,temp,uvi,visibility,weather_description,weather_icon,weather_id,weather_main,wind_deg,wind_gust,wind_speed
Shenzhen,100,2023-01-01,8.58,1672552800,16.42,57,1022,NA,NA,NA,1672527815,1672566607,17.16,NA,NA,overcast clouds,04d,804,Clouds,349,0,3.9
Shanghai,0,2023-01-01,0.01,1672552800,9.94,50,1023,NA,NA,NA,1672527159,1672563703,9.94,NA,10000,clear sky,01d,800,Clear,0,0,1
Guangzhou,99,2023-01-01,8.8,1672552800,16.68,57,1023,NA,NA,NA,1672528077,1672566728,17.4,NA,NA,overcast clouds,04d,804,Clouds,14,NA,3.58
Beijing,79,2023-01-01,-11.33,1672552800,2.03,28,1035,NA,NA,NA,1672529753,1672563548,4.18,NA,NA,broken clouds,04d,803,Clouds,60,NA,2.39
Shenzhen,97,2023-01-02,11.46,1672639200,20.1,56,1021,NA,NA,NA,1672614233,1672653044,20.53,NA,NA,overcast clouds,04d,804,Clouds,324,0,2.4
Shanghai,75,2023-01-02,2.12,1672639200,7.03,63,1031,0.25,NA,NA,1672613572,1672650145,8.77,NA,7000,light rain,10d,500,Rain,50,0,3
Guangzhou,70,2023-01-02,10.31,1672639200,18.17,58,1023,NA,NA,NA,1672614494,1672653165,18.73,NA,NA,broken clouds,04d,803,Clouds,15,NA,5.15
Beijing,4,2023-01-02,-10.21,1672639200,2.44,35,1036,NA,NA,NA,1672616160,1672649996,2.44,NA,NA,clear sky,01d,800,Clear,79,NA,0.69
Shenzhen,100,2023-01-03,13.68,1672725600,20.03,66,1017,NA,NA,NA,1672700650,1672739482,20.23,NA,NA,overcast clouds,04d,804,Clouds,10,0,5
Shanghai,0,2023-01-03,-2.44,1672725600,8.02,43,1031,NA,NA,NA,1672699984,1672736588,9.16,NA,10000,clear sky,01d,800,Clear,3,NA,2.24
Guangzhou,98,2023-01-03,9.84,1672725600,16.31,63,1024,NA,NA,NA,1672700911,1672739603,16.92,NA,NA,overcast clouds,04d,804,Clouds,6,NA,4.58
Beijing,11,2023-01-03,-11.9,1672725600,-0.16,32,1030,NA,NA,NA,1672702566,1672736445,1.58,NA,NA,few clouds,02d,801,Clouds,146,NA,1.64
Shenzhen,44,2023-01-04,12.02,1672812000,19.1,62,1022,NA,NA,NA,1672787066,1672825921,19.48,NA,NA,scattered clouds,03d,802,Clouds,358,0,3.5
Shanghai,0,2023-01-04,-2.83,1672812000,8.61,38,1028,NA,NA,NA,1672786394,1672823032,10.51,NA,10000,clear sky,01d,800,Clear,130,9,4
Guangzhou,93,2023-01-04,11.46,1672812000,18.2,63,1023,NA,NA,NA,1672787326,1672826042,18.64,NA,NA,overcast clouds,04d,804,Clouds,11,NA,2.88
Beijing,0,2023-01-04,-9.39,1672812000,2.73,33,1030,NA,NA,NA,1672788969,1672822896,4.3,NA,NA,clear sky,01d,800,Clear,148,NA,1.84
Shenzhen,28,2023-01-05,13.99,1672898400,21.94,60,1022,NA,NA,NA,1672873481,1672912359,22.11,NA,NA,scattered clouds,03d,802,Clouds,316,0,1.9
Shanghai,40,2023-01-05,4.13,1672898400,11.45,56,1027,NA,NA,NA,1672872803,1672909477,12.67,NA,9999,scattered clouds,03d,802,Clouds,170,0,3
Guangzhou,18,2023-01-05,13.83,1672898400,22.04,59,1022,NA,NA,NA,1672873741,1672912481,22.22,NA,NA,few clouds,02d,801,Clouds,16,NA,3.58
Beijing,0,2023-01-05,-6.73,1672898400,1.83,44,1028,NA,NA,NA,1672875369,1672909349,3.53,NA,NA,clear sky,01d,800,Clear,157,NA,1.85
Shenzhen,48,2023-01-06,14.28,1672984800,24.37,53,1015,NA,NA,NA,1672959894,1672998799,24.48,NA,NA,scattered clouds,03d,802,Clouds,352,0,5.6
Shanghai,0,2023-01-06,1.67,1672984800,11.92,45,1023,NA,NA,NA,1672959210,1672995923,13.35,NA,7000,haze,50d,721,Haze,290,0,5
Guangzhou,77,2023-01-06,12.06,1672984800,22.37,51,1023,NA,NA,NA,1672960153,1672998921,22.71,NA,NA,broken clouds,04d,803,Clouds,14,NA,5.56
Beijing,0,2023-01-06,-10.98,1672984800,6.39,21,1020,NA,NA,NA,1672961768,1672995803,8.82,NA,NA,clear sky,01d,800,Clear,311,NA,4.34
Shenzhen,73,2023-01-07,9.57,1673071200,22.65,42,1019,NA,NA,NA,1673046306,1673085239,23.18,NA,NA,broken clouds,04d,803,Clouds,120,0,3
Shanghai,0,2023-01-07,1.01,1673071200,12.97,40,1023,NA,NA,NA,1673045615,1673082369,14.43,NA,6000,haze,50d,721,Haze,200,0,2
Guangzhou,2,2023-01-07,10.43,1673071200,22.9,44,1019,NA,NA,NA,1673046565,1673085361,23.36,NA,NA,clear sky,01d,800,Clear,34,NA,2.31
Beijing,51,2023-01-07,-13.06,1673071200,5.87,20,1020,NA,NA,NA,1673048165,1673082258,6.78,NA,NA,broken clouds,04d,803,Clouds,76,NA,1.59
Shenzhen,93,2023-01-08,9.79,1673157600,19.98,50,1019,NA,NA,NA,1673132717,1673171679,20.56,NA,NA,overcast clouds,04d,804,Clouds,86,0,4.5
Shanghai,0,2023-01-08,3.89,1673157600,14.6,45,1020,NA,NA,NA,1673132019,1673168817,15.79,NA,10000,clear sky,01d,800,Clear,170,0,5
Guangzhou,97,2023-01-08,12.35,1673157600,19.49,62,1019,NA,NA,NA,1673132975,1673171802,19.83,NA,NA,overcast clouds,04d,804,Clouds,21,NA,3.17
Beijing,0,2023-01-08,-7.77,1673157600,9.52,23,1022,NA,NA,NA,1673134559,1673168715,11.69,NA,NA,clear sky,01d,800,Clear,40,NA,2.88
Shenzhen,100,2023-01-09,15.34,1673244000,21.47,68,1018,NA,NA,NA,1673219126,1673258120,21.49,NA,NA,overcast clouds,04d,804,Clouds,314,0,1.1
Shanghai,0,2023-01-09,6.46,1673244000,15.37,52,1023,NA,NA,NA,1673218421,1673255265,16.32,NA,8000,haze,50d,721,Haze,30,0,5
Guangzhou,100,2023-01-09,14.99,1673244000,17.04,88,1020,0.44,NA,NA,1673219385,1673258243,16.99,NA,NA,light rain,10d,500,Rain,1,NA,3.31
Beijing,0,2023-01-09,-10.61,1673244000,5.89,23,1033,NA,NA,NA,1673220951,1673255172,7.96,NA,NA,clear sky,01d,800,Clear,195,NA,3.28
Shenzhen,100,2023-01-10,17.14,1673330400,18.13,96,1012,0.76,NA,NA,1673305535,1673344560,17.79,NA,NA,light rain,10d,500,Rain,27,0,2.2
Shanghai,0,2023-01-10,1.81,1673330400,10.14,51,1025,NA,NA,NA,1673304821,1673341714,11.59,NA,10000,clear sky,01d,800,Clear,30,0,3
Guangzhou,100,2023-01-10,15.43,1673330400,17.88,86,1019,NA,NA,NA,1673305792,1673344685,17.8,NA,NA,overcast clouds,04d,804,Clouds,20,NA,3.06
Beijing,0,2023-01-10,-9.5,1673330400,2.15,32,1026,NA,NA,NA,1673307341,1673341632,4.6,NA,NA,clear sky,01d,800,Clear,195,NA,2.83
Shenzhen,100,2023-01-11,16.95,1673416800,18.55,92,1010,NA,NA,NA,1673391942,1673431002,18.27,NA,NA,overcast clouds,04d,804,Clouds,62,0,4.2
Shanghai,75,2023-01-11,8.97,1673416800,15.06,64,1021,NA,NA,NA,1673391220,1673428164,15.76,NA,9999,broken clouds,04d,803,Clouds,140,0,4
Guangzhou,100,2023-01-11,15.77,1673416800,19.58,79,1017,NA,NA,NA,1673392199,1673431126,19.51,NA,NA,overcast clouds,04d,804,Clouds,31,NA,2.09
Beijing,87,2023-01-11,-7.65,1673416800,1.71,41,1020,NA,NA,NA,1673393729,1673428092,3.39,NA,NA,overcast clouds,04d,804,Clouds,148,NA,1.81
